locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJKJFEJM_00001	CDS	1542	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
KJKJFEJM_00002	CDS	735				hypothetical protein
KJKJFEJM_00003	CDS	1851	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
KJKJFEJM_00004	CDS	1737			COG1132	putative ABC transporter ATP-binding protein
KJKJFEJM_00005	CDS	1293	metK_1	2.5.1.6		S-adenosylmethionine synthase
KJKJFEJM_00006	CDS	930	cysK	2.5.1.47		Cysteine synthase
KJKJFEJM_00007	CDS	1257	ahcY_1	3.3.1.1	COG0499	Adenosylhomocysteinase
KJKJFEJM_00008	CDS	150				hypothetical protein
KJKJFEJM_00009	CDS	453				hypothetical protein
KJKJFEJM_00010	CDS	513				hypothetical protein
KJKJFEJM_00011	CDS	387				hypothetical protein
KJKJFEJM_00012	CDS	1371	xerC_1			Tyrosine recombinase XerC
KJKJFEJM_00013	tRNA	74				tRNA-Gly(ccc)
KJKJFEJM_00014	CDS	1086				hypothetical protein
KJKJFEJM_00015	CDS	183				hypothetical protein
KJKJFEJM_00016	CDS	300				hypothetical protein
KJKJFEJM_00017	CDS	834				hypothetical protein
KJKJFEJM_00018	CDS	1371				hypothetical protein
KJKJFEJM_00019	CDS	1599				hypothetical protein
KJKJFEJM_00020	CDS	825				hypothetical protein
KJKJFEJM_00021	CDS	369				hypothetical protein
KJKJFEJM_00022	CDS	738				hypothetical protein
KJKJFEJM_00023	CDS	558	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
KJKJFEJM_00024	CDS	849				hypothetical protein
KJKJFEJM_00025	CDS	1458	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
KJKJFEJM_00026	CDS	780	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
KJKJFEJM_00027	CDS	687	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
KJKJFEJM_00028	CDS	459				hypothetical protein
KJKJFEJM_00029	CDS	1218	lnpD	5.1.3.2		UDP-glucose 4-epimerase
KJKJFEJM_00030	CDS	1413	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
KJKJFEJM_00031	CDS	456				hypothetical protein
KJKJFEJM_00032	CDS	255				hypothetical protein
KJKJFEJM_00033	CDS	423			COG0864	Putative nickel-responsive regulator
KJKJFEJM_00034	CDS	1026	hypE	4.2.1.-		Carbamoyl dehydratase HypE
KJKJFEJM_00035	CDS	189				Ferredoxin-2
KJKJFEJM_00036	CDS	498				hypothetical protein
KJKJFEJM_00037	CDS	1938				hypothetical protein
KJKJFEJM_00038	CDS	1449				hypothetical protein
KJKJFEJM_00039	CDS	1905	dnaK		COG0443	Chaperone protein DnaK
KJKJFEJM_00040	CDS	684	grpE			Protein GrpE
KJKJFEJM_00041	CDS	951	dnaJ_1		COG0484	Chaperone protein DnaJ
KJKJFEJM_00042	CDS	378				hypothetical protein
KJKJFEJM_00043	CDS	2814	clpB		COG0542	Chaperone protein ClpB
KJKJFEJM_00044	CDS	1392				hypothetical protein
KJKJFEJM_00045	CDS	1971	urdA_1	1.3.99.33	COG0431	Urocanate reductase
KJKJFEJM_00046	CDS	1347	gltT			Proton/sodium-glutamate symport protein
KJKJFEJM_00047	CDS	1458	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
KJKJFEJM_00048	CDS	714	lytR		COG3279	Sensory transduction protein LytR
KJKJFEJM_00049	CDS	1902	pgi	5.3.1.9		Glucose-6-phosphate isomerase
KJKJFEJM_00050	CDS	2493	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
KJKJFEJM_00051	CDS	249	hypC		COG0298	Hydrogenase maturation factor HypC
KJKJFEJM_00052	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
KJKJFEJM_00053	CDS	372				hypothetical protein
KJKJFEJM_00054	CDS	1992				hypothetical protein
KJKJFEJM_00055	CDS	1083				hypothetical protein
KJKJFEJM_00056	CDS	639	napG_1		COG1145	Ferredoxin-type protein NapG
KJKJFEJM_00057	CDS	696	torD_1			Chaperone protein TorD
KJKJFEJM_00058	CDS	921				hypothetical protein
KJKJFEJM_00059	CDS	675				hypothetical protein
KJKJFEJM_00060	CDS	873				hypothetical protein
KJKJFEJM_00061	CDS	1215	napF_1			Ferredoxin-type protein NapF
KJKJFEJM_00062	CDS	1677				hypothetical protein
KJKJFEJM_00063	CDS	3519	napA_1	1.9.6.1		Periplasmic nitrate reductase
KJKJFEJM_00064	CDS	663	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
KJKJFEJM_00065	CDS	873				hypothetical protein
KJKJFEJM_00066	CDS	1170				hypothetical protein
KJKJFEJM_00067	CDS	444	yqeY		COG1610	putative protein YqeY
KJKJFEJM_00068	CDS	2214				hypothetical protein
KJKJFEJM_00069	CDS	1023	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KJKJFEJM_00070	CDS	99				hypothetical protein
KJKJFEJM_00071	CDS	1167	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
KJKJFEJM_00072	CDS	675	graR		COG0745	Response regulator protein GraR
KJKJFEJM_00073	CDS	387				hypothetical protein
KJKJFEJM_00074	CDS	492				hypothetical protein
KJKJFEJM_00075	CDS	1974				hypothetical protein
KJKJFEJM_00076	CDS	852				hypothetical protein
KJKJFEJM_00077	CDS	771				hypothetical protein
KJKJFEJM_00078	CDS	663				hypothetical protein
KJKJFEJM_00079	CDS	672	trkA		COG0569	Trk system potassium uptake protein TrkA
KJKJFEJM_00080	CDS	2028				hypothetical protein
KJKJFEJM_00081	CDS	528	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
KJKJFEJM_00082	CDS	1518	alsT_1		COG1115	Amino-acid carrier protein AlsT
KJKJFEJM_00083	CDS	1296	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
KJKJFEJM_00084	CDS	1173	napF_2			Ferredoxin-type protein NapF
KJKJFEJM_00085	CDS	849	fliY_1		COG0834	L-cystine-binding protein FliY
KJKJFEJM_00086	CDS	882	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
KJKJFEJM_00087	CDS	1563	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
KJKJFEJM_00088	CDS	711	regX3_1		COG0745	Sensory transduction protein regX3
KJKJFEJM_00089	CDS	1410				hypothetical protein
KJKJFEJM_00090	CDS	1251	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
KJKJFEJM_00091	CDS	663	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
KJKJFEJM_00092	CDS	909	resA			Thiol-disulfide oxidoreductase ResA
KJKJFEJM_00093	CDS	1350	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
KJKJFEJM_00094	CDS	1578	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
KJKJFEJM_00095	CDS	1428				hypothetical protein
KJKJFEJM_00096	tRNA	91				tRNA-Ser(gct)
KJKJFEJM_00097	CDS	363				hypothetical protein
KJKJFEJM_00098	CDS	1065	ispE	2.7.1.148		Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
KJKJFEJM_00099	CDS	1281				hypothetical protein
KJKJFEJM_00100	CDS	489	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
KJKJFEJM_00101	tRNA	88				tRNA-Ser(tga)
KJKJFEJM_00102	CDS	1428	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
KJKJFEJM_00103	tRNA	77				tRNA-Arg(acg)
KJKJFEJM_00104	CDS	1368				hypothetical protein
KJKJFEJM_00105	CDS	1362	mntH		COG1914	Divalent metal cation transporter MntH
KJKJFEJM_00106	CDS	486	nsrR			HTH-type transcriptional repressor NsrR
KJKJFEJM_00107	CDS	1647				hypothetical protein
KJKJFEJM_00108	CDS	1581	opuE_1		COG0591	Osmoregulated proline transporter OpuE
KJKJFEJM_00109	CDS	249				hypothetical protein
KJKJFEJM_00110	CDS	975	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
KJKJFEJM_00111	CDS	2223	menD	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
KJKJFEJM_00112	CDS	1308	menF	5.4.4.2		Isochorismate synthase MenF
KJKJFEJM_00113	CDS	153				hypothetical protein
KJKJFEJM_00114	CDS	1635	ifcA_2	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
KJKJFEJM_00115	CDS	1509				hypothetical protein
KJKJFEJM_00116	CDS	498				hypothetical protein
KJKJFEJM_00117	CDS	1635				hypothetical protein
KJKJFEJM_00118	CDS	1461				hypothetical protein
KJKJFEJM_00119	CDS	1017				hypothetical protein
KJKJFEJM_00120	CDS	459				hypothetical protein
KJKJFEJM_00121	CDS	276				hypothetical protein
KJKJFEJM_00122	CDS	564	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
KJKJFEJM_00123	CDS	480	mscL			Large-conductance mechanosensitive channel
KJKJFEJM_00124	CDS	1179				hypothetical protein
KJKJFEJM_00125	CDS	699			COG0664	Cyclic AMP receptor protein
KJKJFEJM_00126	CDS	561	soeB_1		COG0437	Sulfite dehydrogenase subunit B
KJKJFEJM_00127	CDS	2466	ynfE_1	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
KJKJFEJM_00128	CDS	474	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
KJKJFEJM_00129	CDS	786	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
KJKJFEJM_00130	CDS	1701	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
KJKJFEJM_00131	CDS	2271	murT	6.3.5.13		Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
KJKJFEJM_00132	tRNA	76				tRNA-Thr(cgt)
KJKJFEJM_00133	CDS	2763	uvrA_1			UvrABC system protein A
KJKJFEJM_00134	CDS	420				hypothetical protein
KJKJFEJM_00135	CDS	336				hypothetical protein
KJKJFEJM_00136	CDS	1203				hypothetical protein
KJKJFEJM_00137	CDS	621	ttrB_1		COG0437	Tetrathionate reductase subunit B
KJKJFEJM_00138	CDS	2487	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
KJKJFEJM_00139	CDS	906				hypothetical protein
KJKJFEJM_00140	CDS	651				hypothetical protein
KJKJFEJM_00141	CDS	1581	ifcA_3	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
KJKJFEJM_00142	CDS	924				hypothetical protein
KJKJFEJM_00143	CDS	1251				hypothetical protein
KJKJFEJM_00144	CDS	1476				hypothetical protein
KJKJFEJM_00145	CDS	1203				hypothetical protein
KJKJFEJM_00146	CDS	570	azoR	1.7.1.17		FMN-dependent NADH-azoreductase
KJKJFEJM_00147	CDS	366				hypothetical protein
KJKJFEJM_00148	CDS	1425	pyrP			Uracil permease
KJKJFEJM_00149	CDS	1122	vioD_1	4.2.1.145		Capreomycidine synthase
KJKJFEJM_00150	CDS	948	arcD1		COG0531	Arginine/ornithine antiporter ArcD1
KJKJFEJM_00151	CDS	1023				hypothetical protein
KJKJFEJM_00152	CDS	588				hypothetical protein
KJKJFEJM_00153	CDS	1299				hypothetical protein
KJKJFEJM_00154	CDS	1491				hypothetical protein
KJKJFEJM_00155	CDS	330	trxA_1		COG0526	Thioredoxin
KJKJFEJM_00156	CDS	1257				hypothetical protein
