locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPEOJCLM_00001	CDS	1257	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
HPEOJCLM_00002	CDS	2175	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
HPEOJCLM_00003	CDS	528				hypothetical protein
HPEOJCLM_00004	CDS	975				hypothetical protein
HPEOJCLM_00005	CDS	1056	mreB		COG1077	Cell shape-determining protein MreB
HPEOJCLM_00006	CDS	1581	urdA_1	1.3.99.33	COG0431	Urocanate reductase
HPEOJCLM_00007	CDS	804				hypothetical protein
HPEOJCLM_00008	CDS	1311				hypothetical protein
HPEOJCLM_00009	CDS	960	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
HPEOJCLM_00010	CDS	1281				hypothetical protein
HPEOJCLM_00011	CDS	2226				hypothetical protein
HPEOJCLM_00012	CDS	216				hypothetical protein
HPEOJCLM_00013	CDS	1023				hypothetical protein
HPEOJCLM_00014	CDS	1185	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HPEOJCLM_00015	CDS	723	regX3_1		COG0745	Sensory transduction protein regX3
HPEOJCLM_00016	CDS	1452	coaBC	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
HPEOJCLM_00017	CDS	918		1.1.1.81	COG0111	Hydroxypyruvate reductase
HPEOJCLM_00018	CDS	639	betI			HTH-type transcriptional regulator BetI
HPEOJCLM_00019	CDS	441				hypothetical protein
HPEOJCLM_00020	CDS	846				hypothetical protein
HPEOJCLM_00021	CDS	696				hypothetical protein
HPEOJCLM_00022	CDS	2751	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
HPEOJCLM_00023	CDS	2574	leuS	6.1.1.4		Leucine--tRNA ligase
HPEOJCLM_00024	CDS	234				hypothetical protein
HPEOJCLM_00025	CDS	585	engB		COG0218	putative GTP-binding protein EngB
HPEOJCLM_00026	CDS	1074	rhlE	3.6.4.13		ATP-dependent RNA helicase RhlE
HPEOJCLM_00027	CDS	408				hypothetical protein
HPEOJCLM_00028	CDS	357	rplT		COG0292	50S ribosomal protein L20
HPEOJCLM_00029	CDS	198	rpmI			50S ribosomal protein L35
HPEOJCLM_00030	CDS	573	infC		COG0290	Translation initiation factor IF-3
HPEOJCLM_00031	CDS	1287				hypothetical protein
HPEOJCLM_00032	CDS	360				hypothetical protein
HPEOJCLM_00033	CDS	1398				hypothetical protein
HPEOJCLM_00034	CDS	258				hypothetical protein
HPEOJCLM_00035	CDS	1902				hypothetical protein
HPEOJCLM_00036	CDS	516	ftn	1.16.3.2	COG1528	Bacterial non-heme ferritin
HPEOJCLM_00037	tRNA	92				tRNA-Pro(cgg)
HPEOJCLM_00038	CDS	741				hypothetical protein
HPEOJCLM_00039	CDS	837	nfo_1	3.1.21.2	COG0648	putative endonuclease 4
