locus_tag	ftype	length_bp	gene	EC_number	COG	product
JBCFJHFN_00001	CDS	615	fchA	3.5.4.9	COG3404	Methenyltetrahydrofolate cyclohydrolase
JBCFJHFN_00002	CDS	1689	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
JBCFJHFN_00003	CDS	771	coaX_1	2.7.1.33	COG1521	Type III pantothenate kinase
JBCFJHFN_00004	CDS	696	regX3_1		COG0745	Sensory transduction protein regX3
JBCFJHFN_00005	CDS	645	bioY		COG1268	Biotin transporter BioY
JBCFJHFN_00006	CDS	1539	mepA_1		COG0534	Multidrug export protein MepA
JBCFJHFN_00007	CDS	846	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
JBCFJHFN_00008	CDS	1314				hypothetical protein
JBCFJHFN_00009	CDS	186				hypothetical protein
JBCFJHFN_00010	CDS	1401	tig_1	5.2.1.8		Trigger factor
JBCFJHFN_00011	CDS	714	clpP	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
JBCFJHFN_00012	CDS	1398	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
JBCFJHFN_00013	CDS	2676	valS	6.1.1.9	COG0525	Valine--tRNA ligase
JBCFJHFN_00014	CDS	504				hypothetical protein
JBCFJHFN_00015	CDS	1920	thrZ	6.1.1.3	COG0441	Threonine--tRNA ligase 2
JBCFJHFN_00016	CDS	438				hypothetical protein
JBCFJHFN_00017	CDS	1158				hypothetical protein
JBCFJHFN_00018	CDS	855				hypothetical protein
JBCFJHFN_00019	CDS	789				hypothetical protein
JBCFJHFN_00020	CDS	909	ppx	3.6.1.11	COG0248	Exopolyphosphatase
JBCFJHFN_00021	CDS	687				hypothetical protein
JBCFJHFN_00022	CDS	600		3.1.3.3	COG0560	Phosphoserine phosphatase
JBCFJHFN_00023	CDS	1875				hypothetical protein
JBCFJHFN_00024	CDS	1035				hypothetical protein
JBCFJHFN_00025	CDS	354				hypothetical protein
JBCFJHFN_00026	CDS	468	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
JBCFJHFN_00027	CDS	1680	ettA		COG0488	Energy-dependent translational throttle protein EttA
JBCFJHFN_00028	CDS	555				hypothetical protein
JBCFJHFN_00029	CDS	768	pezT	2.7.1.176		Toxin PezT
JBCFJHFN_00030	CDS	132				hypothetical protein
JBCFJHFN_00031	CDS	1152				hypothetical protein
JBCFJHFN_00032	CDS	2016				hypothetical protein
JBCFJHFN_00033	CDS	837				hypothetical protein
JBCFJHFN_00034	CDS	1605	guaA_1	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
JBCFJHFN_00035	CDS	876				hypothetical protein
JBCFJHFN_00036	CDS	378	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
JBCFJHFN_00037	CDS	405				hypothetical protein
JBCFJHFN_00038	CDS	228				hypothetical protein
JBCFJHFN_00039	CDS	2028	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
JBCFJHFN_00040	CDS	1251				hypothetical protein
JBCFJHFN_00041	CDS	918				hypothetical protein
JBCFJHFN_00042	CDS	1488				hypothetical protein
JBCFJHFN_00043	CDS	636	dmsD_1			Tat proofreading chaperone DmsD
JBCFJHFN_00044	CDS	582	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
JBCFJHFN_00045	CDS	2697	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
JBCFJHFN_00046	CDS	681				hypothetical protein
JBCFJHFN_00047	CDS	711	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
JBCFJHFN_00048	CDS	468	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
JBCFJHFN_00049	CDS	1317				hypothetical protein
JBCFJHFN_00050	CDS	2559	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JBCFJHFN_00051	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
JBCFJHFN_00052	CDS	702	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
JBCFJHFN_00053	CDS	1314	der_1		COG1160	GTPase Der
JBCFJHFN_00054	CDS	1464				hypothetical protein
JBCFJHFN_00055	CDS	897	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
JBCFJHFN_00056	CDS	870				hypothetical protein
JBCFJHFN_00057	CDS	672	cmk_1	2.7.4.25	COG0283	Cytidylate kinase
JBCFJHFN_00058	CDS	1338	aroA_1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
JBCFJHFN_00059	CDS	1068				hypothetical protein
JBCFJHFN_00060	CDS	339	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
JBCFJHFN_00061	CDS	1512				hypothetical protein
JBCFJHFN_00062	CDS	231	nfuA			Fe/S biogenesis protein NfuA
JBCFJHFN_00063	CDS	291				hypothetical protein
JBCFJHFN_00064	CDS	231				hypothetical protein
JBCFJHFN_00065	CDS	852	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
JBCFJHFN_00066	CDS	381	dfx	1.15.1.2	COG2033	Desulfoferrodoxin
JBCFJHFN_00067	CDS	483				hypothetical protein
JBCFJHFN_00068	CDS	1344	glnA_1	6.3.1.2	COG0174	Glutamine synthetase
JBCFJHFN_00069	CDS	261				hypothetical protein
JBCFJHFN_00070	CDS	639	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
JBCFJHFN_00071	CDS	930	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
JBCFJHFN_00072	CDS	1869				hypothetical protein
JBCFJHFN_00073	CDS	861	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
JBCFJHFN_00074	CDS	300				hypothetical protein
JBCFJHFN_00075	CDS	918	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
JBCFJHFN_00076	CDS	1251	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
JBCFJHFN_00077	CDS	927	gltC_1			HTH-type transcriptional regulator GltC
JBCFJHFN_00078	CDS	933	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
JBCFJHFN_00079	CDS	1656	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
JBCFJHFN_00080	CDS	981				hypothetical protein
JBCFJHFN_00081	CDS	843	fieF			Ferrous-iron efflux pump FieF
JBCFJHFN_00082	CDS	735	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
JBCFJHFN_00083	CDS	1488				hypothetical protein
JBCFJHFN_00084	CDS	924	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
JBCFJHFN_00085	CDS	951	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
JBCFJHFN_00086	CDS	1359	miaB_1	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
JBCFJHFN_00087	CDS	333				hypothetical protein
JBCFJHFN_00088	CDS	1086	mutL			DNA mismatch repair protein MutL
JBCFJHFN_00089	CDS	1572	rny	3.1.-.-	COG1418	Ribonuclease Y
JBCFJHFN_00090	CDS	708	recX			Regulatory protein RecX
JBCFJHFN_00091	CDS	1056	recA		COG0468	Protein RecA
JBCFJHFN_00092	CDS	1179	cinA			Putative competence-damage inducible protein
JBCFJHFN_00093	CDS	1314	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
JBCFJHFN_00094	CDS	498				hypothetical protein
JBCFJHFN_00095	CDS	1164				hypothetical protein
JBCFJHFN_00096	CDS	1665	spoIIIE		COG1674	DNA translocase SpoIIIE
JBCFJHFN_00097	CDS	1491	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
JBCFJHFN_00098	CDS	1206	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
JBCFJHFN_00099	CDS	1455	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
JBCFJHFN_00100	CDS	309	trxA_1		COG0526	Thioredoxin 1
JBCFJHFN_00101	CDS	1128				hypothetical protein
JBCFJHFN_00102	CDS	945				hypothetical protein
JBCFJHFN_00103	CDS	837	nfo_1	3.1.21.2	COG0648	putative endonuclease 4
JBCFJHFN_00104	CDS	741				hypothetical protein
JBCFJHFN_00105	tRNA	92				tRNA-Pro(cgg)
JBCFJHFN_00106	CDS	516	ftn	1.16.3.2	COG1528	Bacterial non-heme ferritin
JBCFJHFN_00107	CDS	3195	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JBCFJHFN_00108	CDS	372				hypothetical protein
JBCFJHFN_00109	CDS	312				hypothetical protein
JBCFJHFN_00110	CDS	1269				hypothetical protein
JBCFJHFN_00111	CDS	246				hypothetical protein
JBCFJHFN_00112	CDS	297				hypothetical protein
JBCFJHFN_00113	CDS	1353	aroA_2	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
JBCFJHFN_00114	CDS	972				hypothetical protein
JBCFJHFN_00115	CDS	420	yjdF			putative protein YjdF
JBCFJHFN_00116	CDS	219				hypothetical protein
JBCFJHFN_00117	CDS	249				hypothetical protein
JBCFJHFN_00118	CDS	516				hypothetical protein
JBCFJHFN_00119	CDS	789	dnaI		COG1484	Primosomal protein DnaI
JBCFJHFN_00120	CDS	534				hypothetical protein
JBCFJHFN_00121	CDS	540				hypothetical protein
JBCFJHFN_00122	CDS	372				hypothetical protein
JBCFJHFN_00123	CDS	204				hypothetical protein
JBCFJHFN_00124	CDS	873	rnc	3.1.26.3		Ribonuclease 3
JBCFJHFN_00125	CDS	1059	plsX	2.3.1.274		Phosphate acyltransferase
JBCFJHFN_00126	CDS	180	rpmF			50S ribosomal protein L32
JBCFJHFN_00127	CDS	1332	eriC_1		COG0038	Chloride/fluoride channel protein
JBCFJHFN_00128	CDS	558			COG1399	putative protein
