locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBCBFIFP_00001	CDS	1224	arcA_1	3.5.3.6	COG2235	Arginine deiminase
MBCBFIFP_00002	CDS	168				hypothetical protein
MBCBFIFP_00003	CDS	360				hypothetical protein
MBCBFIFP_00004	CDS	369				hypothetical protein
MBCBFIFP_00005	CDS	408				hypothetical protein
MBCBFIFP_00006	CDS	621				hypothetical protein
MBCBFIFP_00007	CDS	363				hypothetical protein
MBCBFIFP_00008	CDS	1425				hypothetical protein
MBCBFIFP_00009	CDS	1872	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
MBCBFIFP_00010	CDS	1353	accC	6.3.4.14	COG0439	Biotin carboxylase
MBCBFIFP_00011	CDS	351				hypothetical protein
MBCBFIFP_00012	CDS	588	nusB			Transcription antitermination protein NusB
MBCBFIFP_00013	CDS	261				hypothetical protein
MBCBFIFP_00014	CDS	1878	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
MBCBFIFP_00015	CDS	228				hypothetical protein
MBCBFIFP_00016	CDS	282				hypothetical protein
MBCBFIFP_00017	CDS	426				hypothetical protein
MBCBFIFP_00018	CDS	609				hypothetical protein
MBCBFIFP_00019	CDS	726				hypothetical protein
MBCBFIFP_00020	CDS	1686				hypothetical protein
MBCBFIFP_00021	rRNA	93				5S ribosomal RNA (partial)
MBCBFIFP_00022	CDS	897				hypothetical protein
MBCBFIFP_00023	CDS	924	modA		COG0725	Molybdate-binding protein ModA
MBCBFIFP_00024	CDS	1536				hypothetical protein
MBCBFIFP_00025	CDS	1107	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MBCBFIFP_00026	CDS	771				hypothetical protein
MBCBFIFP_00027	CDS	2889	napA_1	1.9.6.1		Periplasmic nitrate reductase
MBCBFIFP_00028	CDS	612	soeB_1		COG0437	Sulfite dehydrogenase subunit B
MBCBFIFP_00029	CDS	738	torD_1			Chaperone protein TorD
MBCBFIFP_00030	CDS	738				hypothetical protein
MBCBFIFP_00031	CDS	1566				hypothetical protein
MBCBFIFP_00032	CDS	1002	moaA_1	4.1.99.22		GTP 3',8-cyclase
MBCBFIFP_00033	CDS	501	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
MBCBFIFP_00034	CDS	1794				hypothetical protein
MBCBFIFP_00035	CDS	1497				hypothetical protein
MBCBFIFP_00036	CDS	678	gph_1	3.1.3.18		Phosphoglycolate phosphatase
MBCBFIFP_00037	CDS	468	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
MBCBFIFP_00038	CDS	1236	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
MBCBFIFP_00039	CDS	660	ribE	2.5.1.9	COG0307	Riboflavin synthase
MBCBFIFP_00040	CDS	1170	ribD		COG0117	Riboflavin biosynthesis protein RibD
MBCBFIFP_00041	CDS	801	yebC		COG0217	putative transcriptional regulatory protein YebC
MBCBFIFP_00042	CDS	801	fabG2	1.-.-.-		putative oxidoreductase
MBCBFIFP_00043	CDS	477	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
MBCBFIFP_00044	CDS	594	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
MBCBFIFP_00045	CDS	1089	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
MBCBFIFP_00046	CDS	414				hypothetical protein
MBCBFIFP_00047	CDS	204	cspLA		COG1278	Cold shock-like protein CspLA
MBCBFIFP_00048	CDS	894	cmoM	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
