locus_tag	ftype	length_bp	gene	EC_number	COG	product
NNHAGLED_00001	CDS	621				hypothetical protein
NNHAGLED_00002	CDS	192				hypothetical protein
NNHAGLED_00003	CDS	363				hypothetical protein
NNHAGLED_00004	CDS	2109	rssB			Regulator of RpoS
NNHAGLED_00005	CDS	1236	paaK_1	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
NNHAGLED_00006	CDS	663	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
NNHAGLED_00007	CDS	6891				hypothetical protein
NNHAGLED_00008	CDS	1197				hypothetical protein
NNHAGLED_00009	CDS	612	kstD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
NNHAGLED_00010	CDS	651				hypothetical protein
NNHAGLED_00011	CDS	732	walR_1		COG0745	Transcriptional regulatory protein WalR
NNHAGLED_00012	CDS	1743	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
NNHAGLED_00013	CDS	597	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
NNHAGLED_00014	CDS	2667	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
NNHAGLED_00015	CDS	1308				hypothetical protein
NNHAGLED_00016	CDS	312				hypothetical protein
NNHAGLED_00017	CDS	306				hypothetical protein
NNHAGLED_00018	CDS	702				hypothetical protein
NNHAGLED_00019	CDS	2307				hypothetical protein
NNHAGLED_00020	CDS	462	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
NNHAGLED_00021	CDS	231				hypothetical protein
NNHAGLED_00022	tRNA	87				tRNA-Leu(cag)
NNHAGLED_00023	CDS	1002				hypothetical protein
NNHAGLED_00024	CDS	1422				hypothetical protein
NNHAGLED_00025	CDS	1629	urdA_1	1.3.99.33	COG1053	Urocanate reductase
NNHAGLED_00026	CDS	330				hypothetical protein
NNHAGLED_00027	CDS	885				hypothetical protein
NNHAGLED_00028	CDS	1002				hypothetical protein
NNHAGLED_00029	CDS	1401				hypothetical protein
NNHAGLED_00030	CDS	288				hypothetical protein
NNHAGLED_00031	CDS	897	fliY_1		COG0834	L-cystine-binding protein FliY
NNHAGLED_00032	CDS	831				hypothetical protein
NNHAGLED_00033	CDS	129				hypothetical protein
NNHAGLED_00034	CDS	735	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
NNHAGLED_00035	CDS	606				hypothetical protein
