locus_tag	ftype	length_bp	gene	EC_number	COG	product
KFNBJHEN_00001	CDS	798				hypothetical protein
KFNBJHEN_00002	CDS	249				hypothetical protein
KFNBJHEN_00003	CDS	429				hypothetical protein
KFNBJHEN_00004	CDS	1212	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
KFNBJHEN_00005	CDS	2508				hypothetical protein
KFNBJHEN_00006	CDS	510				hypothetical protein
KFNBJHEN_00007	CDS	2193	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
KFNBJHEN_00008	CDS	1407				hypothetical protein
KFNBJHEN_00009	CDS	279				hypothetical protein
KFNBJHEN_00010	CDS	1386	argH	4.3.2.1	COG0165	Argininosuccinate lyase
KFNBJHEN_00011	CDS	1383	argG	6.3.4.5		Argininosuccinate synthase
KFNBJHEN_00012	CDS	705	torD_1			Chaperone protein TorD
KFNBJHEN_00013	CDS	621	ttrB_1		COG0437	Tetrathionate reductase subunit B
KFNBJHEN_00014	CDS	2466	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
KFNBJHEN_00015	CDS	825				hypothetical protein
KFNBJHEN_00016	CDS	1317				hypothetical protein
KFNBJHEN_00017	CDS	1236	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
KFNBJHEN_00018	CDS	948	argB	2.7.2.8	COG0548	Acetylglutamate kinase
KFNBJHEN_00019	CDS	1299	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
KFNBJHEN_00020	CDS	1059	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
KFNBJHEN_00021	CDS	429	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
KFNBJHEN_00022	CDS	282				hypothetical protein
KFNBJHEN_00023	CDS	1149				hypothetical protein
KFNBJHEN_00024	CDS	783				hypothetical protein
KFNBJHEN_00025	CDS	885				hypothetical protein
KFNBJHEN_00026	CDS	1473				hypothetical protein
KFNBJHEN_00027	CDS	1560	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
KFNBJHEN_00028	CDS	870				hypothetical protein
KFNBJHEN_00029	CDS	222				hypothetical protein
KFNBJHEN_00030	CDS	786				hypothetical protein
KFNBJHEN_00031	CDS	666				hypothetical protein
KFNBJHEN_00032	CDS	645	sigE		COG1595	ECF RNA polymerase sigma factor SigE
KFNBJHEN_00033	CDS	285				hypothetical protein
KFNBJHEN_00034	CDS	492	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
KFNBJHEN_00035	CDS	843	ispD	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
KFNBJHEN_00036	CDS	2586	clpC1			ATP-dependent Clp protease ATP-binding subunit ClpC1
KFNBJHEN_00037	CDS	1020				hypothetical protein
KFNBJHEN_00038	CDS	2001	epmA	6.3.1.-		Elongation factor P--(R)-beta-lysine ligase
KFNBJHEN_00039	CDS	471	greA		COG0782	Transcription elongation factor GreA
KFNBJHEN_00040	CDS	270	tatA_1			Sec-independent protein translocase protein TatA
KFNBJHEN_00041	CDS	411				hypothetical protein
KFNBJHEN_00042	CDS	1671				hypothetical protein
KFNBJHEN_00043	CDS	1800				hypothetical protein
KFNBJHEN_00044	CDS	1215	ackA_1	2.7.2.1	COG0282	Acetate kinase
KFNBJHEN_00045	tRNA	77				tRNA-Pro(cgg)
KFNBJHEN_00046	CDS	483	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
KFNBJHEN_00047	CDS	1200				hypothetical protein
KFNBJHEN_00048	CDS	1167				hypothetical protein
KFNBJHEN_00049	CDS	510				hypothetical protein
KFNBJHEN_00050	CDS	1182	purH	3.5.4.10		Bifunctional purine biosynthesis protein PurH
KFNBJHEN_00051	CDS	642				hypothetical protein
KFNBJHEN_00052	CDS	993				hypothetical protein
KFNBJHEN_00053	CDS	618	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
KFNBJHEN_00054	CDS	1074	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
KFNBJHEN_00055	CDS	1482	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
KFNBJHEN_00056	CDS	909				hypothetical protein
KFNBJHEN_00057	CDS	117				hypothetical protein
KFNBJHEN_00058	CDS	1734		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
KFNBJHEN_00059	CDS	2787	ppk	2.7.4.1		Polyphosphate kinase
KFNBJHEN_00060	CDS	408				hypothetical protein
KFNBJHEN_00061	CDS	459				hypothetical protein
KFNBJHEN_00062	CDS	1254	pyrP_1			Uracil permease
KFNBJHEN_00063	CDS	1269	pyrP_2			Uracil permease
KFNBJHEN_00064	CDS	933	torD_2			Chaperone protein TorD
KFNBJHEN_00065	CDS	861				hypothetical protein
