locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGMNGFHD_00001	CDS	294	rpsF		COG0360	30S ribosomal protein S6
OGMNGFHD_00002	CDS	510	ssb		COG0629	Single-stranded DNA-binding protein
OGMNGFHD_00003	CDS	261				hypothetical protein
OGMNGFHD_00004	CDS	585				hypothetical protein
OGMNGFHD_00005	CDS	1416	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
OGMNGFHD_00006	CDS	1281				hypothetical protein
OGMNGFHD_00007	CDS	2226				hypothetical protein
OGMNGFHD_00008	CDS	216				hypothetical protein
OGMNGFHD_00009	CDS	1326	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
OGMNGFHD_00010	CDS	1293	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
OGMNGFHD_00011	CDS	1335	hemW_1		COG0635	Heme chaperone HemW
OGMNGFHD_00012	CDS	684				hypothetical protein
OGMNGFHD_00013	CDS	1098				hypothetical protein
OGMNGFHD_00014	tRNA	76				tRNA-Phe(gaa)
OGMNGFHD_00015	CDS	588	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
OGMNGFHD_00016	CDS	1350				hypothetical protein
OGMNGFHD_00017	CDS	909				hypothetical protein
OGMNGFHD_00018	CDS	837	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
OGMNGFHD_00019	CDS	1404	puuP		COG0531	Putrescine importer PuuP
OGMNGFHD_00020	CDS	906				hypothetical protein
OGMNGFHD_00021	CDS	462				hypothetical protein
OGMNGFHD_00022	CDS	1152				hypothetical protein
OGMNGFHD_00023	CDS	534				hypothetical protein
OGMNGFHD_00024	CDS	1116				hypothetical protein
OGMNGFHD_00025	CDS	1233	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
OGMNGFHD_00026	CDS	615				hypothetical protein
OGMNGFHD_00027	CDS	915				hypothetical protein
OGMNGFHD_00028	CDS	417				hypothetical protein
OGMNGFHD_00029	tRNA	75				tRNA-Gly(ccc)
OGMNGFHD_00030	CDS	315				hypothetical protein
OGMNGFHD_00031	CDS	738				hypothetical protein
OGMNGFHD_00032	CDS	558	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
OGMNGFHD_00033	CDS	849				hypothetical protein
OGMNGFHD_00034	CDS	1458	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
OGMNGFHD_00035	CDS	780	sdh	1.1.1.276		Serine 3-dehydrogenase
OGMNGFHD_00036	CDS	687	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
OGMNGFHD_00037	CDS	453				hypothetical protein
OGMNGFHD_00038	CDS	1218	lnpD	5.1.3.2		UDP-glucose 4-epimerase
OGMNGFHD_00039	CDS	1413	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
OGMNGFHD_00040	CDS	4509				hypothetical protein
OGMNGFHD_00041	CDS	804				hypothetical protein
OGMNGFHD_00042	CDS	1059				hypothetical protein
OGMNGFHD_00043	CDS	456				hypothetical protein
OGMNGFHD_00044	CDS	255				hypothetical protein
OGMNGFHD_00045	CDS	423			COG0864	Putative nickel-responsive regulator
OGMNGFHD_00046	CDS	1026	hypE	4.2.1.-		Carbamoyl dehydratase HypE
OGMNGFHD_00047	CDS	189				Ferredoxin-2
OGMNGFHD_00048	CDS	498				hypothetical protein
OGMNGFHD_00049	CDS	1938				hypothetical protein
OGMNGFHD_00050	CDS	1449				hypothetical protein
OGMNGFHD_00051	CDS	1905	dnaK		COG0443	Chaperone protein DnaK
OGMNGFHD_00052	CDS	684	grpE			Protein GrpE
OGMNGFHD_00053	CDS	951	dnaJ_1		COG0484	Chaperone protein DnaJ
OGMNGFHD_00054	CDS	378				hypothetical protein
OGMNGFHD_00055	CDS	2814	clpB		COG0542	Chaperone protein ClpB
OGMNGFHD_00056	CDS	1392				hypothetical protein
OGMNGFHD_00057	CDS	1971	urdA_1	1.3.99.33	COG0431	Urocanate reductase
OGMNGFHD_00058	CDS	1347	gltT			Proton/sodium-glutamate symport protein
OGMNGFHD_00059	CDS	1410	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
OGMNGFHD_00060	CDS	714	lytR		COG3279	Sensory transduction protein LytR
OGMNGFHD_00061	CDS	1902	pgi	5.3.1.9		Glucose-6-phosphate isomerase
OGMNGFHD_00062	CDS	2493	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
OGMNGFHD_00063	CDS	255	hypC		COG0298	Hydrogenase maturation factor HypC
OGMNGFHD_00064	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
OGMNGFHD_00065	CDS	372				hypothetical protein
OGMNGFHD_00066	CDS	1992				hypothetical protein
OGMNGFHD_00067	CDS	1083				hypothetical protein
OGMNGFHD_00068	CDS	639	napG_1		COG1145	Ferredoxin-type protein NapG
OGMNGFHD_00069	CDS	696	torD_1			Chaperone protein TorD
OGMNGFHD_00070	CDS	921				hypothetical protein
OGMNGFHD_00071	CDS	675				hypothetical protein
OGMNGFHD_00072	CDS	870				hypothetical protein
OGMNGFHD_00073	CDS	1215	napF_1			Ferredoxin-type protein NapF
OGMNGFHD_00074	CDS	1674				hypothetical protein
OGMNGFHD_00075	CDS	3519	napA_1	1.9.6.1		Periplasmic nitrate reductase
OGMNGFHD_00076	CDS	663	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
OGMNGFHD_00077	CDS	873				hypothetical protein
OGMNGFHD_00078	CDS	444	yqeY		COG1610	putative protein YqeY
OGMNGFHD_00079	CDS	2214				hypothetical protein
OGMNGFHD_00080	CDS	1026	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OGMNGFHD_00081	CDS	99				hypothetical protein
OGMNGFHD_00082	CDS	1167	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
OGMNGFHD_00083	CDS	675	graR		COG0745	Response regulator protein GraR
OGMNGFHD_00084	CDS	801				hypothetical protein
OGMNGFHD_00085	CDS	222				hypothetical protein
OGMNGFHD_00086	CDS	492				hypothetical protein
OGMNGFHD_00087	CDS	1968				hypothetical protein
OGMNGFHD_00088	CDS	852				hypothetical protein
OGMNGFHD_00089	CDS	771				hypothetical protein
OGMNGFHD_00090	CDS	663				hypothetical protein
OGMNGFHD_00091	CDS	672	trkA_1		COG0569	Trk system potassium uptake protein TrkA
OGMNGFHD_00092	CDS	2028				hypothetical protein
OGMNGFHD_00093	CDS	528	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
OGMNGFHD_00094	CDS	1518	alsT_1		COG1115	Amino-acid carrier protein AlsT
OGMNGFHD_00095	CDS	1329	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
OGMNGFHD_00096	CDS	1173	napF_2			Ferredoxin-type protein NapF
OGMNGFHD_00097	CDS	849	fliY_1		COG0834	L-cystine-binding protein FliY
OGMNGFHD_00098	CDS	654	artQ		COG0765	Arginine transport system permease protein ArtQ
OGMNGFHD_00099	CDS	774	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
OGMNGFHD_00100	CDS	1593				hypothetical protein
OGMNGFHD_00101	CDS	1389	pqqE	1.21.98.4		PqqA peptide cyclase
OGMNGFHD_00102	CDS	534				hypothetical protein
OGMNGFHD_00103	CDS	321				hypothetical protein
OGMNGFHD_00104	CDS	321				hypothetical protein
OGMNGFHD_00105	CDS	651				hypothetical protein
OGMNGFHD_00106	CDS	123				hypothetical protein
OGMNGFHD_00107	CDS	813				hypothetical protein
OGMNGFHD_00108	CDS	1644	thi4	2.4.2.59		Thiamine thiazole synthase
OGMNGFHD_00109	CDS	1419				hypothetical protein
OGMNGFHD_00110	CDS	966	cynR			HTH-type transcriptional regulator CynR
OGMNGFHD_00111	CDS	1932	urdA_2	1.3.99.33	COG0431	Urocanate reductase
OGMNGFHD_00112	CDS	1674	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
OGMNGFHD_00113	CDS	684				hypothetical protein
OGMNGFHD_00114	CDS	864				hypothetical protein
OGMNGFHD_00115	CDS	981			COG0609	putative ABC transporter permease protein
OGMNGFHD_00116	CDS	786	mntB		COG1121	Manganese transport system ATP-binding protein MntB
OGMNGFHD_00117	CDS	1170				hypothetical protein
OGMNGFHD_00118	CDS	924	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
OGMNGFHD_00119	CDS	1062				hypothetical protein
OGMNGFHD_00120	CDS	870				hypothetical protein
OGMNGFHD_00121	CDS	1605				hypothetical protein
OGMNGFHD_00122	CDS	813	fetB		COG0390	putative iron export permease protein FetB
OGMNGFHD_00123	CDS	870	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OGMNGFHD_00124	CDS	525				hypothetical protein
OGMNGFHD_00125	CDS	1410				hypothetical protein
OGMNGFHD_00126	CDS	468				hypothetical protein
OGMNGFHD_00127	CDS	213				hypothetical protein
OGMNGFHD_00128	CDS	240				hypothetical protein
OGMNGFHD_00129	CDS	495				hypothetical protein
OGMNGFHD_00130	CDS	630				hypothetical protein
OGMNGFHD_00131	CDS	762				hypothetical protein
OGMNGFHD_00132	CDS	1818				hypothetical protein
OGMNGFHD_00133	CDS	1530				hypothetical protein
OGMNGFHD_00134	CDS	507				hypothetical protein
OGMNGFHD_00135	CDS	864				hypothetical protein
OGMNGFHD_00136	CDS	585				hypothetical protein
OGMNGFHD_00137	CDS	642				hypothetical protein
OGMNGFHD_00138	tRNA	78				tRNA-Met(cat)
OGMNGFHD_00139	CDS	1017				hypothetical protein
OGMNGFHD_00140	CDS	1425	purF_1	2.4.2.14		Amidophosphoribosyltransferase
OGMNGFHD_00141	CDS	2724	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
OGMNGFHD_00142	CDS	840	menB	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
OGMNGFHD_00143	CDS	1074	pilT		COG2805	Twitching mobility protein
OGMNGFHD_00144	CDS	420				hypothetical protein
OGMNGFHD_00145	CDS	777				hypothetical protein
OGMNGFHD_00146	CDS	627				hypothetical protein
OGMNGFHD_00147	CDS	324				hypothetical protein
OGMNGFHD_00148	CDS	1053	epsF		COG1459	Type II secretion system protein F
OGMNGFHD_00149	CDS	993				hypothetical protein
OGMNGFHD_00150	CDS	2997	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
OGMNGFHD_00151	CDS	363				hypothetical protein
OGMNGFHD_00152	CDS	2109	rssB			Regulator of RpoS
OGMNGFHD_00153	CDS	1236	paaK_1	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
OGMNGFHD_00154	CDS	732	walR_1		COG0745	Transcriptional regulatory protein WalR
OGMNGFHD_00155	CDS	1644	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
OGMNGFHD_00156	CDS	597	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
OGMNGFHD_00157	CDS	2667	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
OGMNGFHD_00158	CDS	648				hypothetical protein
OGMNGFHD_00159	CDS	312				hypothetical protein
OGMNGFHD_00160	CDS	306				hypothetical protein
OGMNGFHD_00161	CDS	702				hypothetical protein
OGMNGFHD_00162	CDS	2421				hypothetical protein
OGMNGFHD_00163	CDS	462	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
OGMNGFHD_00164	CDS	231				hypothetical protein
OGMNGFHD_00165	tRNA	87				tRNA-Leu(cag)
OGMNGFHD_00166	CDS	885				hypothetical protein
OGMNGFHD_00167	CDS	1002				hypothetical protein
OGMNGFHD_00168	CDS	591				hypothetical protein
OGMNGFHD_00169	CDS	957				hypothetical protein
OGMNGFHD_00170	CDS	1209	baiF_1	2.8.3.25	COG1804	Bile acid-CoA transferase
OGMNGFHD_00171	CDS	1173	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
OGMNGFHD_00172	CDS	759	fixA_1		COG2086	Protein FixA
OGMNGFHD_00173	CDS	828	fixB_1		COG2025	Protein FixB
OGMNGFHD_00174	CDS	1464				hypothetical protein
OGMNGFHD_00175	CDS	1647				hypothetical protein
OGMNGFHD_00176	CDS	708				hypothetical protein
OGMNGFHD_00177	CDS	2214	phsA_1	1.8.5.5	COG0243	Thiosulfate reductase molybdopterin-containing subunit PhsA
OGMNGFHD_00178	CDS	537	ttrB_1		COG0437	Tetrathionate reductase subunit B
OGMNGFHD_00179	CDS	867				hypothetical protein
OGMNGFHD_00180	CDS	1524				hypothetical protein
OGMNGFHD_00181	CDS	1545				hypothetical protein
OGMNGFHD_00182	CDS	2406				hypothetical protein
OGMNGFHD_00183	CDS	819		3.2.1.-		Protein-ADP-ribose hydrolase
OGMNGFHD_00184	CDS	567				hypothetical protein
OGMNGFHD_00185	CDS	1635	mdtD_1			Putative multidrug resistance protein MdtD
OGMNGFHD_00186	CDS	705	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
OGMNGFHD_00187	CDS	1782	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
OGMNGFHD_00188	CDS	2376	dmsA_2	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
OGMNGFHD_00189	CDS	579				hypothetical protein
OGMNGFHD_00190	CDS	1236				hypothetical protein
OGMNGFHD_00191	CDS	687	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
OGMNGFHD_00192	CDS	1260				hypothetical protein
OGMNGFHD_00193	CDS	420				hypothetical protein
