locus_tag	ftype	length_bp	gene	EC_number	COG	product
IKCIPBLA_00001	CDS	696				hypothetical protein
IKCIPBLA_00002	CDS	945				hypothetical protein
IKCIPBLA_00003	CDS	675	tcrA		COG0745	Transcriptional regulatory protein TcrA
IKCIPBLA_00004	CDS	1617	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
IKCIPBLA_00005	CDS	285				hypothetical protein
IKCIPBLA_00006	CDS	270				hypothetical protein
IKCIPBLA_00007	CDS	1200	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
IKCIPBLA_00008	CDS	1071				hypothetical protein
IKCIPBLA_00009	CDS	777	napF_1			Ferredoxin-type protein NapF
IKCIPBLA_00010	CDS	912				hypothetical protein
IKCIPBLA_00011	CDS	660	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
IKCIPBLA_00012	CDS	3645	napA_1	1.9.6.1		Periplasmic nitrate reductase
IKCIPBLA_00013	CDS	954				hypothetical protein
IKCIPBLA_00014	CDS	1953				hypothetical protein
IKCIPBLA_00015	CDS	711	torD_1			Chaperone protein TorD
IKCIPBLA_00016	CDS	837				hypothetical protein
IKCIPBLA_00017	CDS	516				hypothetical protein
IKCIPBLA_00018	CDS	1881				hypothetical protein
IKCIPBLA_00019	CDS	1557				hypothetical protein
IKCIPBLA_00020	CDS	525				hypothetical protein
IKCIPBLA_00021	CDS	891	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
IKCIPBLA_00022	CDS	1140				hypothetical protein
IKCIPBLA_00023	CDS	936	bcrA			Bacitracin transport ATP-binding protein BcrA
IKCIPBLA_00024	CDS	726	mprA		COG0745	Response regulator MprA
IKCIPBLA_00025	CDS	2058				hypothetical protein
IKCIPBLA_00026	CDS	300				hypothetical protein
IKCIPBLA_00027	CDS	270				hypothetical protein
IKCIPBLA_00028	CDS	2094	glnA_1	6.3.1.2		Glutamine synthetase
IKCIPBLA_00029	CDS	603				hypothetical protein
IKCIPBLA_00030	CDS	1254				hypothetical protein
IKCIPBLA_00031	CDS	624	soeB_1		COG0437	Sulfite dehydrogenase subunit B
IKCIPBLA_00032	CDS	2787	napA_2	1.9.6.1		Periplasmic nitrate reductase
IKCIPBLA_00033	CDS	642				hypothetical protein
IKCIPBLA_00034	CDS	1362				hypothetical protein
IKCIPBLA_00035	CDS	933	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
IKCIPBLA_00036	CDS	1323	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
IKCIPBLA_00037	CDS	1515	rhaB	2.7.1.5		Rhamnulokinase
IKCIPBLA_00038	CDS	291				hypothetical protein
IKCIPBLA_00039	CDS	810				hypothetical protein
IKCIPBLA_00040	CDS	1662				hypothetical protein
IKCIPBLA_00041	CDS	1494				hypothetical protein
IKCIPBLA_00042	CDS	393	rpsI		COG0103	30S ribosomal protein S9
IKCIPBLA_00043	CDS	435	rplM		COG0102	50S ribosomal protein L13
IKCIPBLA_00044	CDS	258				hypothetical protein
IKCIPBLA_00045	CDS	372				hypothetical protein
IKCIPBLA_00046	CDS	867	zupT_1		COG0428	Zinc transporter ZupT
IKCIPBLA_00047	CDS	309				hypothetical protein
IKCIPBLA_00048	CDS	1287	purF_1	2.4.2.14		Amidophosphoribosyltransferase
IKCIPBLA_00049	CDS	1506				hypothetical protein
IKCIPBLA_00050	CDS	723				hypothetical protein
IKCIPBLA_00051	CDS	228				hypothetical protein
