locus_tag	ftype	length_bp	gene	EC_number	COG	product
BMEPIPMG_00001	CDS	597	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
BMEPIPMG_00002	CDS	2667	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
BMEPIPMG_00003	CDS	660				hypothetical protein
BMEPIPMG_00004	CDS	312				hypothetical protein
BMEPIPMG_00005	CDS	306				hypothetical protein
BMEPIPMG_00006	CDS	702				hypothetical protein
BMEPIPMG_00007	CDS	2238				hypothetical protein
BMEPIPMG_00008	CDS	462	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
BMEPIPMG_00009	CDS	231				hypothetical protein
BMEPIPMG_00010	tRNA	87				tRNA-Leu(cag)
BMEPIPMG_00011	CDS	996				hypothetical protein
BMEPIPMG_00012	CDS	1272				hypothetical protein
BMEPIPMG_00013	CDS	288				hypothetical protein
BMEPIPMG_00014	CDS	1077				hypothetical protein
BMEPIPMG_00015	CDS	684				hypothetical protein
BMEPIPMG_00016	CDS	588				hypothetical protein
BMEPIPMG_00017	CDS	210				hypothetical protein
BMEPIPMG_00018	CDS	750	yfcA_1		COG0730	putative membrane transporter protein YfcA
BMEPIPMG_00019	tRNA	77				tRNA-Glu(ctc)
BMEPIPMG_00020	tRNA	77				tRNA-Glu(ctc)
BMEPIPMG_00021	tRNA	74				tRNA-Gln(ctg)
BMEPIPMG_00022	CDS	858	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
BMEPIPMG_00023	CDS	597	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
BMEPIPMG_00024	CDS	672	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
BMEPIPMG_00025	CDS	1359	bzaF	4.1.99.23	COG0422	5-hydroxybenzimidazole synthase
BMEPIPMG_00026	CDS	651	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
BMEPIPMG_00027	CDS	804				hypothetical protein
BMEPIPMG_00028	CDS	258				hypothetical protein
BMEPIPMG_00029	CDS	792	sepF			Cell division protein SepF
BMEPIPMG_00030	CDS	693	yggS		COG0325	Pyridoxal phosphate homeostasis protein
BMEPIPMG_00031	CDS	828	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
BMEPIPMG_00032	CDS	1122	ftsZ		COG0206	Cell division protein FtsZ
BMEPIPMG_00033	CDS	558				hypothetical protein
BMEPIPMG_00034	CDS	744	ftsQ			Cell division protein FtsQ
BMEPIPMG_00035	CDS	384	murB_1	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
BMEPIPMG_00036	CDS	558			COG1399	putative protein
BMEPIPMG_00037	CDS	459				hypothetical protein
BMEPIPMG_00038	CDS	585	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
BMEPIPMG_00039	CDS	2184	recG	3.6.4.12		ATP-dependent DNA helicase RecG
BMEPIPMG_00040	CDS	1635				putative protein
BMEPIPMG_00041	CDS	348				putative protein
BMEPIPMG_00042	CDS	192	rpmB		COG0227	50S ribosomal protein L28
BMEPIPMG_00043	CDS	717				hypothetical protein
BMEPIPMG_00044	CDS	909				hypothetical protein
BMEPIPMG_00045	CDS	816				hypothetical protein
BMEPIPMG_00046	CDS	1299	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
BMEPIPMG_00047	CDS	711	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
BMEPIPMG_00048	CDS	468	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
BMEPIPMG_00049	CDS	1317				hypothetical protein
BMEPIPMG_00050	CDS	135				hypothetical protein
BMEPIPMG_00051	CDS	945	rplB			50S ribosomal protein L2
BMEPIPMG_00052	CDS	273	rpsS			30S ribosomal protein S19
BMEPIPMG_00053	CDS	342	rplV		COG0091	50S ribosomal protein L22
BMEPIPMG_00054	CDS	675	tcrA		COG0745	Transcriptional regulatory protein TcrA
BMEPIPMG_00055	CDS	1617	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BMEPIPMG_00056	CDS	1200	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
BMEPIPMG_00057	CDS	1071				hypothetical protein
BMEPIPMG_00058	CDS	690	napF_1			Ferredoxin-type protein NapF
BMEPIPMG_00059	CDS	915				hypothetical protein
BMEPIPMG_00060	CDS	660	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
BMEPIPMG_00061	CDS	165				hypothetical protein
BMEPIPMG_00062	CDS	2490				hypothetical protein
BMEPIPMG_00063	CDS	306				hypothetical protein
BMEPIPMG_00064	CDS	684				hypothetical protein
BMEPIPMG_00065	CDS	204				hypothetical protein
BMEPIPMG_00066	CDS	714	clpP	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
BMEPIPMG_00067	CDS	1401	tig_1	5.2.1.8		Trigger factor
BMEPIPMG_00068	CDS	537				hypothetical protein
BMEPIPMG_00069	CDS	561				hypothetical protein
BMEPIPMG_00070	CDS	1686				hypothetical protein
BMEPIPMG_00071	CDS	1629	nfdA_1	3.5.1.91		N-substituted formamide deformylase
BMEPIPMG_00072	CDS	1881				hypothetical protein
BMEPIPMG_00073	CDS	1656				hypothetical protein
BMEPIPMG_00074	CDS	1272	sstT		COG3633	Serine/threonine transporter SstT
BMEPIPMG_00075	tRNA	86				tRNA-Leu(tag)
BMEPIPMG_00076	tRNA	75				tRNA-Asn(gtt)
BMEPIPMG_00077	CDS	2172	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
BMEPIPMG_00078	CDS	1251	rpoD			RNA polymerase sigma factor RpoD
BMEPIPMG_00079	CDS	2367	priA	3.6.4.-	COG1198	Primosomal protein N'
BMEPIPMG_00080	CDS	486	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
BMEPIPMG_00081	CDS	939				hypothetical protein
BMEPIPMG_00082	CDS	981				hypothetical protein
BMEPIPMG_00083	CDS	279				hypothetical protein
BMEPIPMG_00084	CDS	1347	pyrP_1			Uracil permease
BMEPIPMG_00085	CDS	1230				hypothetical protein
BMEPIPMG_00086	CDS	432				hypothetical protein
BMEPIPMG_00087	CDS	633				hypothetical protein
BMEPIPMG_00088	CDS	780	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BMEPIPMG_00089	CDS	1326				hypothetical protein
BMEPIPMG_00090	CDS	933	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
BMEPIPMG_00091	CDS	291				hypothetical protein
BMEPIPMG_00092	CDS	474	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
BMEPIPMG_00093	CDS	1410	ribZ_1			Riboflavin transporter RibZ
BMEPIPMG_00094	CDS	669				hypothetical protein
BMEPIPMG_00095	CDS	303				hypothetical protein
BMEPIPMG_00096	CDS	381	mntR		COG1321	Transcriptional regulator MntR
BMEPIPMG_00097	CDS	939				hypothetical protein
BMEPIPMG_00098	CDS	951	ppx2	3.6.1.11	COG0248	Exopolyphosphatase 2
BMEPIPMG_00099	tRNA	83				tRNA-Leu(taa)
BMEPIPMG_00100	CDS	672				hypothetical protein
BMEPIPMG_00101	CDS	1464	ydgI		COG0531	Putative arginine/ornithine antiporter
BMEPIPMG_00102	CDS	939	yegS_1	2.7.1.-		lipid kinase YegS
BMEPIPMG_00103	CDS	1149	rnd	3.1.13.5	COG0349	Ribonuclease D
BMEPIPMG_00104	CDS	666				hypothetical protein
BMEPIPMG_00105	CDS	1452	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
BMEPIPMG_00106	CDS	267	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
BMEPIPMG_00107	CDS	1224	ackA_1	2.7.2.1	COG0282	Acetate kinase
BMEPIPMG_00108	CDS	1977				hypothetical protein
BMEPIPMG_00109	CDS	1458				hypothetical protein
BMEPIPMG_00110	CDS	1011	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
BMEPIPMG_00111	CDS	1230	rfbD	5.4.99.9		UDP-galactopyranose mutase
BMEPIPMG_00112	CDS	1020				hypothetical protein
BMEPIPMG_00113	CDS	828	coaX_1	2.7.1.33	COG1521	Type III pantothenate kinase
BMEPIPMG_00114	CDS	1299	dinB_1	2.7.7.7		DNA polymerase IV
BMEPIPMG_00115	CDS	873			COG1307	DegV domain-containing protein
BMEPIPMG_00116	CDS	1035				hypothetical protein
BMEPIPMG_00117	CDS	795				hypothetical protein
BMEPIPMG_00118	CDS	1128				hypothetical protein
BMEPIPMG_00119	CDS	309	trxA_1		COG0526	Thioredoxin 1
BMEPIPMG_00120	CDS	1455	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
BMEPIPMG_00121	CDS	1182	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
BMEPIPMG_00122	CDS	1413	galK	2.7.1.6		Galactokinase
BMEPIPMG_00123	CDS	2070	lacZ	3.2.1.23		Beta-galactosidase
BMEPIPMG_00124	CDS	639				hypothetical protein
BMEPIPMG_00125	CDS	1104				hypothetical protein
BMEPIPMG_00126	CDS	1719				hypothetical protein
BMEPIPMG_00127	CDS	1716	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
BMEPIPMG_00128	CDS	555	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
BMEPIPMG_00129	CDS	429				hypothetical protein
BMEPIPMG_00130	CDS	312				hypothetical protein
BMEPIPMG_00131	CDS	1302				hypothetical protein
BMEPIPMG_00132	CDS	864	dmsD_1			Tat proofreading chaperone DmsD
BMEPIPMG_00133	CDS	576	dmsB_2		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
BMEPIPMG_00134	CDS	2895	dmsA_2	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
BMEPIPMG_00135	CDS	912	hdfR_1			HTH-type transcriptional regulator HdfR
BMEPIPMG_00136	CDS	1146				hypothetical protein
BMEPIPMG_00137	CDS	1818	ade	3.5.4.2	COG1001	Adenine deaminase
BMEPIPMG_00138	CDS	447	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
BMEPIPMG_00139	CDS	945	pyrG_1	6.3.4.2		CTP synthase
BMEPIPMG_00140	CDS	786	sfsA			Sugar fermentation stimulation protein A
BMEPIPMG_00141	CDS	1452	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
BMEPIPMG_00142	CDS	2688				hypothetical protein
BMEPIPMG_00143	CDS	1752				hypothetical protein
BMEPIPMG_00144	CDS	1422				hypothetical protein
BMEPIPMG_00145	CDS	1677	ifcA_2	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
BMEPIPMG_00146	CDS	1590				hypothetical protein
BMEPIPMG_00147	CDS	1101				hypothetical protein
BMEPIPMG_00148	CDS	672				hypothetical protein
BMEPIPMG_00149	CDS	1344				hypothetical protein
BMEPIPMG_00150	CDS	1467		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
BMEPIPMG_00151	CDS	210				hypothetical protein
BMEPIPMG_00152	CDS	1476	alsT_1		COG1115	Amino-acid carrier protein AlsT
BMEPIPMG_00153	CDS	981				hypothetical protein
BMEPIPMG_00154	CDS	276				hypothetical protein
BMEPIPMG_00155	CDS	3492				hypothetical protein
BMEPIPMG_00156	CDS	471				hypothetical protein
BMEPIPMG_00157	CDS	1527	cca	2.7.7.72		CCA-adding enzyme
BMEPIPMG_00158	CDS	750	yfcA_2		COG0730	putative membrane transporter protein YfcA
