locus_tag	ftype	length_bp	gene	EC_number	COG	product
ANGDCKKE_00001	CDS	621	rplC		COG0087	50S ribosomal protein L3
ANGDCKKE_00002	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
ANGDCKKE_00003	CDS	2118	fusA_1		COG0480	Elongation factor G
ANGDCKKE_00004	CDS	471	rpsG		COG0049	30S ribosomal protein S7
ANGDCKKE_00005	CDS	372	rpsL			30S ribosomal protein S12
ANGDCKKE_00006	CDS	1419				hypothetical protein
ANGDCKKE_00007	CDS	462	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
ANGDCKKE_00008	CDS	2190	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
ANGDCKKE_00009	CDS	462				hypothetical protein
ANGDCKKE_00010	CDS	1284				hypothetical protein
ANGDCKKE_00011	tRNA	75				tRNA-Val(cac)
ANGDCKKE_00012	CDS	1059	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
ANGDCKKE_00013	CDS	2043	nhaK_1		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
ANGDCKKE_00014	CDS	1662				hypothetical protein
ANGDCKKE_00015	tRNA	76				tRNA-Lys(ctt)
ANGDCKKE_00016	tRNA	77				tRNA-His(gtg)
ANGDCKKE_00017	CDS	714	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
ANGDCKKE_00018	CDS	1134				hypothetical protein
ANGDCKKE_00019	tRNA	75				tRNA-Met(cat)
ANGDCKKE_00020	CDS	1728	argS	6.1.1.19		Arginine--tRNA ligase
ANGDCKKE_00021	CDS	765				hypothetical protein
ANGDCKKE_00022	CDS	363				hypothetical protein
ANGDCKKE_00023	CDS	432				hypothetical protein
ANGDCKKE_00024	CDS	1440	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
ANGDCKKE_00025	CDS	669				hypothetical protein
ANGDCKKE_00026	CDS	4782				hypothetical protein
ANGDCKKE_00027	CDS	1368				hypothetical protein
ANGDCKKE_00028	CDS	1365				hypothetical protein
ANGDCKKE_00029	CDS	213				hypothetical protein
ANGDCKKE_00030	CDS	1338	hipA_1	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
ANGDCKKE_00031	CDS	624				hypothetical protein
ANGDCKKE_00032	CDS	978				hypothetical protein
ANGDCKKE_00033	CDS	975				hypothetical protein
ANGDCKKE_00034	CDS	399				hypothetical protein
ANGDCKKE_00035	CDS	1851				hypothetical protein
ANGDCKKE_00036	CDS	183				hypothetical protein
ANGDCKKE_00037	CDS	2697	secDF		COG0341	Protein translocase subunit SecDF
ANGDCKKE_00038	CDS	1434				hypothetical protein
ANGDCKKE_00039	CDS	1002				hypothetical protein
ANGDCKKE_00040	CDS	732		5.1.1.13	COG1794	Aspartate racemase
ANGDCKKE_00041	CDS	1854	asnB	6.3.5.4	COG0367	Putative asparagine synthetase [glutamine-hydrolyzing]
ANGDCKKE_00042	CDS	960				hypothetical protein
ANGDCKKE_00043	CDS	387				hypothetical protein
ANGDCKKE_00044	CDS	879				hypothetical protein
ANGDCKKE_00045	CDS	615	dmsD_1			Tat proofreading chaperone DmsD
ANGDCKKE_00046	CDS	1323	proP_1			Proline/betaine transporter
ANGDCKKE_00047	CDS	831	crnA	3.5.2.10		Creatinine amidohydrolase
ANGDCKKE_00048	CDS	1170				hypothetical protein
ANGDCKKE_00049	CDS	585				hypothetical protein
ANGDCKKE_00050	CDS	885	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
ANGDCKKE_00051	CDS	681				hypothetical protein
ANGDCKKE_00052	CDS	336				hypothetical protein
ANGDCKKE_00053	CDS	867				hypothetical protein
ANGDCKKE_00054	CDS	783				hypothetical protein
ANGDCKKE_00055	CDS	762	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
ANGDCKKE_00056	CDS	1194	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
ANGDCKKE_00057	CDS	2718	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
ANGDCKKE_00058	CDS	1020				hypothetical protein
ANGDCKKE_00059	CDS	309				hypothetical protein
ANGDCKKE_00060	CDS	1209				hypothetical protein
ANGDCKKE_00061	CDS	444				hypothetical protein
ANGDCKKE_00062	CDS	1725				hypothetical protein
ANGDCKKE_00063	CDS	594				hypothetical protein
ANGDCKKE_00064	CDS	444				hypothetical protein
