locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKBIMJNF_00001	CDS	1164				hypothetical protein
AKBIMJNF_00002	CDS	372				hypothetical protein
AKBIMJNF_00003	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
AKBIMJNF_00004	CDS	249	hypC		COG0298	Hydrogenase maturation factor HypC
AKBIMJNF_00005	CDS	2493	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
AKBIMJNF_00006	CDS	1902	pgi	5.3.1.9		Glucose-6-phosphate isomerase
AKBIMJNF_00007	CDS	714	lytR		COG3279	Sensory transduction protein LytR
AKBIMJNF_00008	CDS	1458	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
AKBIMJNF_00009	CDS	1347	gltT			Proton/sodium-glutamate symport protein
AKBIMJNF_00010	CDS	1971	urdA_1	1.3.99.33	COG0431	Urocanate reductase
AKBIMJNF_00011	CDS	1392				hypothetical protein
AKBIMJNF_00012	CDS	2814	clpB_1		COG0542	Chaperone protein ClpB
AKBIMJNF_00013	CDS	378				hypothetical protein
AKBIMJNF_00014	CDS	951	dnaJ_1		COG0484	Chaperone protein DnaJ
AKBIMJNF_00015	CDS	684	grpE			Protein GrpE
AKBIMJNF_00016	CDS	1905	dnaK		COG0443	Chaperone protein DnaK
AKBIMJNF_00017	CDS	1449				hypothetical protein
AKBIMJNF_00018	CDS	1938				hypothetical protein
AKBIMJNF_00019	CDS	498				hypothetical protein
AKBIMJNF_00020	CDS	189				Ferredoxin-2
AKBIMJNF_00021	CDS	1026	hypE	4.2.1.-		Carbamoyl dehydratase HypE
AKBIMJNF_00022	CDS	423			COG0864	Putative nickel-responsive regulator
AKBIMJNF_00023	CDS	255				hypothetical protein
AKBIMJNF_00024	CDS	495				hypothetical protein
AKBIMJNF_00025	CDS	1413	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
AKBIMJNF_00026	CDS	1218	lnpD	5.1.3.2		UDP-glucose 4-epimerase
AKBIMJNF_00027	CDS	459				hypothetical protein
AKBIMJNF_00028	CDS	687	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
AKBIMJNF_00029	CDS	780	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
AKBIMJNF_00030	CDS	1458	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
AKBIMJNF_00031	CDS	849				hypothetical protein
AKBIMJNF_00032	CDS	558	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
AKBIMJNF_00033	CDS	738				hypothetical protein
AKBIMJNF_00034	CDS	315				hypothetical protein
AKBIMJNF_00035	CDS	786	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
AKBIMJNF_00036	CDS	945	noc_1			Nucleoid occlusion protein
AKBIMJNF_00037	CDS	1212				hypothetical protein
AKBIMJNF_00038	CDS	210				hypothetical protein
